,dataset,exp_10_percentile,exp_25_percentile,exp_50_percentile,exp_75_percentile,exp_90_percentile,exp_max,exp_mean,exp_min,exp_std,hw_10_percentile,hw_25_percentile,hw_50_percentile,hw_75_percentile,hw_90_percentile,hw_max,hw_mean,hw_min,hw_std,my_10_percentile,my_25_percentile,my_50_percentile,my_75_percentile,my_90_percentile,my_max,my_mean,my_min,my_std
0,01_zilina,3.93063362394,5.47219119411,9.23035380609,18.5715512076,26.8835788122,87.2012252912,13.2480460303,1.31216830932,10.9702511588,2.9814145978,4.08539495455,5.99684965594,19.7241831781,33.7067739777,5148.75317126,18.1963305875,1.08884826018,150.53327298,1.59201712938,2.11070055309,3.40249401158,6.42960317182,16.1646004201,71.8518822153,6.51977489766,0.893635889453,8.27284679074
1,02_cadca,3.10681737153,4.36781557753,6.48077161158,9.71775580405,17.204681245,49.7669202442,8.65134053114,1.15413750923,7.18791895442,2.8352917326,3.70113542875,5.60916278675,9.77596401589,17.0864584985,48.6582672381,8.30998681752,1.44298322572,7.62359099289,1.98853996181,2.58399715718,3.94319839088,9.49942688793,18.5916000679,123.64195609,8.4254585773,0.972122746303,11.2855121464
2,03_martin,3.95971936481,6.99352965847,27.3629893296,44.1207170345,63.5560065549,137.074180736,29.5062535635,1.2312858426,23.6987167051,,,,,,,,,,3.74181221379,8.9393002731,21.5778368482,38.9517953149,54.214759437,126.707727657,26.0666232363,1.28567200169,20.8665306503
3,04_kosice,3.41725011228,4.88214151804,8.20630107169,14.9302693394,21.3153103616,42.1372343249,10.7849292272,1.11929110683,7.63806648109,2.95998279206,4.03833773402,7.7866289734,18.2287483364,35.8554723212,129.284709554,14.5464579801,1.29160856246,17.1534326321,1.74936576867,2.30992729722,3.45685541845,5.57932018389,13.3385017237,52.5249410683,5.48249192332,0.987716334839,5.78435332936
4,05_poprad,3.34672265246,5.11270413025,8.43726081322,15.9133117216,23.2131889384,49.3086232131,11.4807443282,1.30826525817,8.68239894307,2.83916917968,4.13289973383,6.44675719308,19.6014351567,32.5450089596,98.0640880862,12.7294924224,1.1020839251,13.2411463843,1.88443189474,2.53381185186,3.82347241682,6.80987869102,13.8690224437,53.2607535987,6.11419480306,0.913522924618,6.35567258146
5,06_humenne,2.75850717389,4.30747923702,9.91185114853,19.2948350719,28.5626431546,205.022850444,14.1602585086,1.11860863414,14.9534377497,2.37341574057,3.762074009,6.9939303929,24.5881547351,43.2414515975,143.219151762,16.7066417871,1.03946365551,20.8667955833,1.60759288086,2.07804581241,3.10177177576,5.27326118331,13.3275290166,60.2185242009,5.37431226904,0.819245358156,6.32171803107
6,07_trebisov,2.29381880169,3.24101159204,5.12208889704,13.8125111996,19.7928537617,59.2386215852,9.05184455579,1.15287124892,8.20240843668,2.30769883533,3.22902580752,4.99208589313,14.2087337595,20.1451696585,53.4118546205,9.13349475466,1.22858505741,8.29699379807,1.83290062691,2.48164001396,3.70459428086,6.39864222745,15.9818862451,75.5456744696,6.19403936629,1.00641595222,6.85941441876
7,08_presov,4.60512204832,6.63323533845,11.849068283,21.8407158596,28.5823964848,135.244970326,15.641702052,1.70004036872,12.2111118124,3.7706151635,5.47326699021,8.26168735994,23.7227616781,34.7483479002,115.077890571,15.4145360613,1.44825976686,14.8471226505,1.81148789516,2.34778587485,3.32023599657,5.56877709746,18.2755500013,61.1862412003,6.16294622603,0.87349763554,7.58512950479
8,09_svidnik,3.95694645864,6.93334159816,11.7299118003,16.1234999746,20.6633380195,88.3327367904,12.6961619686,1.35437708153,8.69795965992,,,,,,,,,,2.21756688223,2.96213915395,4.83108712437,10.9489188535,19.5606893468,62.7935071694,8.12267079554,1.03716173692,7.68185039816
9,8_ba5psc,2.61780641098,3.95187956714,6.39820917963,14.7456844423,21.0193744514,60.6446681914,9.73520080721,0.944709021788,7.8811969406,2.98995486061,4.302769404,8.66524473662,18.2820282784,31.951946814,237.054950758,14.7978086825,1.04455089226,17.9688955854,1.60546266068,2.21285522089,3.26290866165,5.61854748302,16.0168861304,45.3552693168,5.67719930042,0.803305089244,5.84420707711
10,8_ba,2.31225913798,3.5965193507,6.25948860984,13.4245936272,18.0996286703,48.6681074007,8.91221930459,0.618959521448,7.01190546226,3.00194198318,5.64440069438,13.2107299154,23.4953814493,33.7043631815,102.80989838,16.3283327977,0.87145940884,13.6310686309,1.16386078822,1.63235430625,2.6254958394,5.51652688289,14.1844247679,33.0911848649,5.02052946967,0.497017526212,5.66202452112
11,90_zahorie,2.96822012068,4.78335648688,8.96708452132,14.3712377605,20.0085305064,78.6569637831,10.5970795086,0.868878183514,7.62945110981,2.65541063185,3.49612456434,5.64914137567,17.3280618739,26.316025731,63.0764117283,11.0290943079,0.96684947773,10.5154973345,1.32049505021,1.74398080436,2.64222552841,4.75768249582,9.88237008095,45.0181318102,4.66385585359,0.677687017104,5.70127512975
12,91_trnava,2.88190809619,4.38409410248,7.29278406389,11.879454152,15.7674995393,34.5338539264,8.5843952546,0.6707036835,5.31791431948,2.16740786858,3.03964918321,5.01544393447,13.7093244176,20.9229274475,52.8579518333,9.03770692918,0.832483504975,8.40902381921,1.45340439888,2.10582916106,3.50916238534,6.7724440101,13.7294684217,36.8142818668,5.70158719842,0.726158326094,5.83316716823
13,92_piestany,1.88861941822,2.89191826135,5.31907205076,8.72138471635,12.4416903937,31.2200346935,6.32637360916,0.742621128065,4.32248680703,1.713890648,2.23655353679,3.60584694227,9.88996356782,12.812387107,37.8002648034,6.02242736356,0.858512209942,5.18504107772,1.34083720921,1.72408857938,2.57115737809,4.79950790858,11.6401258821,49.8636410741,4.6267845538,0.686111295116,5.33676369629
14,93_dun-streda,2.52794901413,4.47776156454,7.48463204712,11.4651833544,15.8463981142,57.4322811583,8.55875125451,0.798096286762,5.45911172751,1.84399538863,3.03076666264,5.12091401368,13.7082047177,19.5051555722,55.5425092939,8.85820273145,1.00693269419,7.99723372657,1.71399206427,2.49757451089,4.19678545427,7.67416558328,15.0619280631,46.1845697948,6.35470921465,0.789435724905,5.92084839761
15,94_nitra,2.64141771346,4.10902955263,7.64177578975,15.452102488,21.7519641203,71.580110764,10.6987308233,1.00652891786,8.82610284652,2.85994437168,4.37423718812,11.1103516591,24.2776220936,60.6272691356,1270.44943123,28.434345911,1.16165327332,74.5480220224,1.51609123452,2.01159573889,3.01819917015,5.17572903972,12.7598622309,42.7263045604,5.32754146886,0.838640395486,6.21679869221
16,95_partizanske,2.63260897892,4.35987395216,7.15334365989,14.3608993232,22.3122411882,68.9744274066,10.6735630737,0.93846753945,9.60279363003,2.19306695552,3.91398577363,5.97953315375,18.4579766828,31.7089051822,118.50499593,12.3774268324,1.04036837458,14.1140850012,1.31255063722,1.84149121968,2.87279402563,4.93598816371,9.86934549867,42.1228513952,4.74607012043,0.707596799343,5.44124221697
17,96_zvolen,3.48105026428,4.94242860954,7.98441155083,15.31470298,23.9042452639,95.0250048399,11.3966252981,1.54792886147,9.61081172925,2.90471720973,4.136352616,6.33063902442,17.948302748,30.5896310688,103.343291756,12.2765667213,1.54396734123,12.7205451514,2.21974123936,2.87571935225,4.16936436671,7.66941541605,16.2823943262,47.8060815982,6.77081703455,1.15727379427,6.46122166925
18,97_bb,10.2519142538,12.6986818228,15.100306951,18.2853302359,23.5336361444,62.1029342685,16.1970045685,2.41638519591,6.71626763508,,,,,,,,,,10.3330462149,15.2844522102,18.5796844025,22.7111653382,28.1588033606,70.7085605965,19.3683944059,1.23790248919,8.38045228646
19,98_rim-sobota,6.40877285908,9.26390321172,14.4288531432,22.8632905481,33.6670236362,515.099435262,19.0608968171,2.15368531198,21.6489097354,,,,,,,,,,2.68035793811,3.62879411151,5.36782143609,10.4475098203,20.5776642117,70.4597891947,8.79741175242,1.51433442008,8.49786706297
20,99_velky-krtis,6.90023767006,9.25067432416,13.5840346341,20.1670672587,28.538335195,79.1986570541,16.2419776603,3.1170692777,10.3074637401,10.8380520144,14.1307053283,18.6157345047,27.5449819493,47.5725898473,120.53524555,24.6475072979,3.47230303491,18.0702436468,5.35268393107,7.27916770616,11.302815482,18.0907300847,27.566575396,65.353462717,14.190592939,3.00235180498,9.4217661186
